Steve Balboni All-Stars
Players with 10 or more seasons and less than 0.5 war per season.
2023-02-26 18:01:38.020
741 rows

John Bateman                0.9 10 (1963-1972) HOU,MON,PHI
Midre Cummings              0.9 11 (1993-2005) PIT,PHI,BOS,MIN,ARI,TBD,BAL
Eduardo Perez               0.9 13 (1993-2006) CAL,CIN,STL,TBD,SEA,CLE
Jim Poole                   0.9 11 (1990-2000) LAD,TEX,BAL,SFG,CLE,PHI,MON,DET
Curt Wilkerson              0.9 11 (1983-1993) TEX,CHC,PIT,KCR
Rick Auerbach              0.95 11 (1971-1981) MIL,LAD,CIN,SEA
Jimmy Bloodworth           0.95 11 (1937-1951) WSH,DET,PIT,CIN,PHI
Emil Brown                 0.95 10 (1997-2009) PIT,SDP,KCR,OAK,NYM
Ed Glynn                   0.95 10 (1975-1985) NYM,MON,DET,CLE
Fred Kendall               0.95 12 (1969-1980) SDP,CLE,BOS
Benny Ayala                 1.0 10 (1974-1985) NYM,STL,BAL,CLE
Carlos Garcia               1.0 10 (1990-1999) PIT,TOR,ANA,SDP
Jim Hannan                  1.0 10 (1962-1971) WSA,DET,MIL
Curtis Pride                1.0 11 (1993-2006) MON,DET,ATL,BOS,NYY,ANA,LAA
Esteban Yan                 1.0 11 (1996-2006) TBD,STL,TEX,DET,LAA,CIN,BAL
Tim Blackwell              1.05 10 (1974-1983) BOS,PHI,MON,CHC
Cody Ransom                1.05 11 (2001-2013) SFG,HOU,NYY,PHI,ARI,MIL,SDP,CHC
Sherry Robertson           1.05 10 (1940-1952) WSH,PHA
Jeff Baker                  1.1 11 (2005-2015) COL,CHC,DET,ATL,TEX,MIA
John Tsitouris              1.1 11 (1957-1968) DET,KCA,CIN
Chris Woodward              1.1 12 (1999-2011) TOR,NYM,ATL,BOS,SEA
Abraham Almonte            1.15 10 (2013-2022) SEA,SDP,CLE,KCR,ARI,ATL,BOS
Bob Aspromonte             1.15 12 (1960-1971) LAD,HOU,ATL,NYM
Hank DeBerry               1.15 11 (1916-1930) CLE,BRO
Sandy Leon                 1.15 11 (2012-2022) WSN,BOS,CLE,MIA,MIN
Charlie Silvera            1.15 10 (1948-1957) NYY,CHC
Bill Zuber                 1.15 11 (1936-1947) CLE,WSH,NYY,BOS
Norm Miller                 1.2 10 (1965-1974) HOU,ATL
Clayton Richard             1.2 11 (2008-2019) CHW,SDP,CHC,TOR
Luis Rivera                 1.2 11 (1986-1998) MON,BOS,NYM,HOU,KCR
Buck Ross                   1.2 10 (1936-1945) PHA,CHW
Juan Agosto                1.25 13 (1981-1993) CHW,HOU,STL,SEA,MIN
Gino Cimoli                1.25 10 (1956-1965) BRO,LAD,STL,PIT,MLN,KCA,BAL,CAL
Sam Mele                   1.25 10 (1947-1956) BOS,WSH,CHW,BAL,CIN,CLE
Skeeter Newsome            1.25 12 (1935-1947) PHA,BOS,PHI
Bobby Tiefenauer           1.25 10 (1952-1968) STL,CLE,HOU,MLN,NYY,CHC
Ryan Vogelsong             1.25 12 (2000-2016) SFG,PIT
Ron Washington             1.25 10 (1977-1989) LAD,MIN,BAL,CLE,HOU
Paul Casanova               1.3 10 (1965-1974) WSA,ATL
Andy Hawkins                1.3 10 (1982-1991) SDP,NYY,OAK
Gordon Jones                1.3 11 (1954-1965) STL,NYG,SFG,BAL,KCA,HOU
Marty Keough                1.3 10 (1957-1966) BOS,CLE,WSA,CIN,ATL,CHC
Chris Stewart               1.3 12 (2006-2018) CHW,TEX,NYY,SDP,SFG,PIT,ARI,ATL
Jim Delsing                1.35 10 (1948-1960) CHW,NYY,SLB,DET,KCA
Ed FitzGerald              1.35 12 (1948-1959) PIT,WSH,CLE
Rosy Ryan                  1.35 10 (1919-1933) NYG,BSN,NYY,BRO
Eric Young Jr.             1.35 10 (2009-2018) COL,NYM,ATL,NYY,LAA
Randy Bush                  1.4 12 (1982-1993) MIN
Skip Schumaker             1.45 11 (2005-2015) STL,LAD,CIN
Don Gutteridge              1.5 11 (1936-1947) STL,SLB,BOS
Joe Nolan                   1.5 11 (1972-1985) NYM,ATL,CIN,BAL
Phil Ortega                 1.5 10 (1960-1969) LAD,WSA,CAL
Flint Rhem                  1.5 12 (1924-1936) STL,PHI,BSN
Joe Schultz                 1.5 11 (1912-1925) BSN,CHC,BRO,PIT,STL,PHI,CIN
Andrés Blanco              1.55 10 (2004-2017) KCR,CHC,TEX,PHI
John Flaherty              1.55 14 (1992-2005) BOS,DET,SDP,TBD,NYY
Malachi Kittridge          1.55 16 (1890-1906) CHC,LOU,WHS,BSN,WSH,CLE
Les Moss                   1.55 12 (1946-1957) SLB,BOS,BAL,CHW
Esteban German              1.6 10 (2002-2011) OAK,TEX,KCR
Sonny Jackson               1.6 12 (1963-1974) HOU,ATL
Dustin McGowan              1.6 10 (2005-2017) TOR,PHI,MIA
Alberto Castillo           1.65 12 (1995-2007) NYM,STL,TOR,NYY,SFG,KCR,OAK,BAL
Willie Montanez            1.65 14 (1966-1982) CAL,PHI,SFG,ATL,NYM,TEX,MON,SDP,PIT
Fred Stanley               1.65 14 (1969-1982) SEP,MIL,CLE,SDP,NYY,OAK
Bob Barton                  1.7 10 (1965-1974) SFG,SDP,CIN
Willie Bloomquist           1.7 14 (2002-2015) SEA,KCR,CIN,ARI
Barry Bonnell               1.7 10 (1977-1986) ATL,TOR,SEA
Giovanni Carrara            1.7 10 (1995-2006) CIN,TOR,COL,LAD,SEA
Roger Cedeno                1.7 11 (1995-2005) LAD,NYM,HOU,DET,STL
Jamie Easterly              1.7 13 (1974-1987) ATL,CLE,MIL
Orval Grove                 1.7 10 (1940-1949) CHW
Bob Heise                   1.7 11 (1967-1977) NYM,SFG,MIL,CAL,STL,BOS,KCR
Kevin Jepsen                1.7 10 (2008-2018) LAA,TBR,MIN,TEX
Mark Parent                 1.7 13 (1986-1998) SDP,TEX,BAL,CHC,PIT,DET,PHI
Bill Rariden                1.7 10 (1909-1920) BSN,NYG,CIN
Tom Brown                  1.75 10 (1887-1898) IND,PIT,BSN,LOU,WHS,STL
Sal Fasano                 1.75 11 (1996-2008) KCR,OAK,COL,ANA,BAL,NYY,PHI,TOR,CLE
Lenny Harris               1.75 18 (1988-2005) CIN,LAD,NYM,ARI,COL,MIL,FLA,CHC
Mark Sweeney               1.75 14 (1995-2008) STL,SDP,CIN,MIL,COL,SFG,LAD
Sammy White                1.75 11 (1951-1962) BOS,MLN,PHI
Eddie Pérez                 1.8 11 (1995-2005) ATL,CLE,MIL
Humberto Quintero           1.8 12 (2003-2014) SDP,HOU,KCR,SEA,PHI
Kelly Stinnett              1.8 14 (1994-2007) NYM,MIL,ARI,CIN,PHI,KCR,NYY,STL
Frank Taveras               1.8 10 (1972-1982) PIT,NYM,MON
Frank DiPino               1.85 12 (1981-1993) HOU,CHC,STL,MIL,KCR
Felix Fermin               1.85 10 (1987-1996) PIT,CLE,SEA,CHC
Lance Painter              1.85 10 (1993-2003) COL,STL,TOR,MIL
Robert Andino               1.9 10 (2005-2016) FLA,BAL,SEA,MIA
Alex Arias                  1.9 11 (1992-2002) CHC,FLA,PHI,SDP,NYY
Ray Hayworth                1.9 14 (1926-1945) DET,BRO,NYG
Marcus Thames               1.9 10 (2002-2011) NYY,TEX,DET,LAD
Ed Vosberg                  1.9 10 (1986-2002) SDP,SFG,TEX,FLA,ARI,PHI,MON,OAK
Franklin Morales           1.95 10 (2007-2016) COL,BOS,KCR,TOR
Clyde Vollmer              1.95 10 (1942-1954) CIN,WSH,BOS
Shawn Camp                  2.0 11 (2004-2014) KCR,TBD,TOR,CHC,PHI
Sammy Esposito              2.0 10 (1952-1963) CHW,KCA
Bob Owchinko                2.0 10 (1976-1986) SDP,CLE,PIT,CIN,MON,OAK
Lee Stevens                 2.0 10 (1990-2002) CAL,TEX,MON,CLE
Mike Vail                   2.0 10 (1975-1984) NYM,CLE,CHC,CIN,SFG,MON,LAD
Jim Wohlford                2.0 15 (1972-1986) KCR,MIL,SFG,MON
Gil Coan                   2.05 10 (1946-1955) WSH,BAL,CHW,NYG
Alex Ferguson              2.05 10 (1918-1929) NYY,BOS,WSH,PHI,BRO
Mike Fitzgerald            2.05 10 (1983-1992) NYM,MON,CAL
Frank House                2.05 10 (1950-1961) DET,KCA,CIN
Steve Lake                 2.05 11 (1983-1993) CHC,STL,PHI
Ed Phelps                  2.05 11 (1902-1913) PIT,CIN,STL,BRO
Frenchy Bordagaray          2.1 11 (1934-1945) CHW,BRO,STL,CIN,NYY
Bill Fahey                 2.15 11 (1971-1983) WSA,TEX,SDP,DET
Jeff Huson                 2.15 12 (1988-2000) MON,TEX,BAL,MIL,SEA,ANA,CHC
George Thomas              2.15 13 (1957-1971) DET,LAA,BOS,MIN
Gerry Arrigo                2.2 10 (1961-1970) MIN,CIN,NYM,CHW
Robert Fick                 2.2 10 (1998-2007) DET,ATL,TBD,SDP,WSN
Jerry Don Gleaton           2.2 12 (1979-1992) PIT,TEX,SEA,CHW,KCR,DET
Dan Miceli                  2.2 14 (1993-2006) PIT,DET,SDP,FLA,COL,CLE,NYY,HOU,TEX,TBD
Bob Montgomery              2.2 10 (1970-1979) BOS
Fernando Salas              2.2 10 (2010-2019) STL,LAA,NYM,ARI,PHI
Larry Stahl                 2.2 10 (1964-1973) KCA,NYM,SDP,CIN
Mike Tresh                  2.2 12 (1938-1949) CHW,CLE
Ruben Amaro                2.25 11 (1958-1969) STL,PHI,NYY,CAL
Phil Gagliano              2.25 12 (1963-1974) STL,CHC,BOS,CIN
Jim Gosger                 2.25 10 (1963-1974) BOS,KCA,OAK,SEP,NYM,MON
Chris Owings               2.25 10 (2013-2022) ARI,BOS,KCR,COL,BAL
Hernán Pérez               2.25 10 (2012-2021) DET,MIL,CHC,WSN
Max Stassi                 2.25 10 (2013-2022) HOU,LAA
Thad Bosley                 2.3 14 (1977-1990) CAL,CHW,MIL,SEA,CHC,KCR,TEX
Marc Hill                   2.3 14 (1973-1986) STL,SFG,SEA,CHW
Ted Kubiak                  2.3 10 (1967-1976) KCA,OAK,MIL,STL,TEX,SDP
